"IF_Key","Length","Name","Date","Water","Sarea","ShrLen","Altitude","NYTME","NYTMN","Region","GearType","Age"
1078809855,128,"Bluegill",10/18/2004 0:00:00,"Lake Ronkonkoma",231.19,2.23,55.00,6583.00,45211.00,"1","Electrofishing (Boat)",1
-2115157058,53,"Bluegill",11/13/2007 0:00:00,"Lake Ronkonkoma",231.19,2.23,55.00,6583.00,45211.00,"1","Electrofishing (Boat)",1
147514,130,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",3
147574,139,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",3
147573,142,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",3
147563,139,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",3
147561,138,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",3
147511,132,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",3
147510,133,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",3
147509,112,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",2
147508,137,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",3
147507,134,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",3
147487,146,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",4
147562,152,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",4
147620,137,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",3
147691,142,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",3
147685,134,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",3
147677,140,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",3
147662,139,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",3
147649,140,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",3
147638,136,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",3
147637,144,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",3
147621,131,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",3
147635,155,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",5
147749,118,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",3
147731,137,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",3
147732,104,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",2
147733,134,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",3
147734,133,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",3
147735,123,"Pumpkinseed",5/23/1994 0:00:00,"Big Reed Pond",51.37,1.42,3.00,7595.00,45519.00,"1","Electrofishing (Boat)",3
